fips,owner_occupied_units,median_income,census_median_value,census_aggregate_value,census_aggregate_taxes
06001,317451,122488,999200,366023813600,2754706900
06003,360,101125,463900,235732900,1487300
06005,12440,74853,409600,6285757500,38356100
06007,48424,66085,371600,20545982200,146618200
06009,14114,77526,404200,6560376100,48768300
06011,4686,69619,360100,2009110000,12422100
06013,274388,120020,787300,272062145200,2139963100
06015,6492,61149,282500,2253908400,14634000
06017,57235,99246,597600,38419642000,283753900
06019,172455,67756,338200,68073355400,534796600
06021,5906,64033,295400,2288838700,15030300
06023,30965,57881,386000,13895774200,87507700
06025,27122,53847,256000,7819201700,66771500
06027,5178,63417,325900,1713117400,10906800
06029,165473,63883,282800,53900377900,513248500
06031,23924,68540,281400,7558979700,58235400
06033,18420,56259,291300,6719155100,44681300
06035,6131,59515,233100,1595720100,12007500
06037,1552164,83411,732200,1513786909400,10148183200
06039,28719,73543,340300,12156890200,85124400
06041,66444,142019,1291800,110994727100,828030700
06043,5604,60021,335900,2340095700,14488000
06045,21044,61335,463700,12183654300,74929200
06047,44156,64772,342300,17614186300,117287800
06049,2557,54962,184900,738827700,4721200
06051,3743,82038,496800,2157145700,16175800
06053,68359,91043,683700,60859563700,382481600
06055,32076,105809,794500,33116630300,204353200
06057,31000,79395,559700,19401636400,141522000
06059,602959,109361,862900,632197529700,4234082000
06061,112597,109375,627100,78141239700,648431800
06063,6023,67885,310100,2249992400,15087700
06065,513821,84505,462900,263322238700,2348678900
06067,328664,84010,465900,169914349700,1328358700
06069,13087,104451,703200,10128779100,80636200
06071,403105,77423,438000,194346858400,1498785000
06073,623317,96974,725200,549144158300,3848836800
06075,139117,136689,1348700,231291053300,1489389500
06077,142391,82837,462000,73642131100,579666400
06079,67031,90158,726700,55922191400,367893900
06081,157368,149907,1441300,292049973000,1697351300
06083,78168,92332,714800,85326920900,501383800
06085,361551,153792,1316800,595654306200,3873054900
06087,57852,104409,951300,62778337900,392925500
06089,46257,68347,327500,17294087600,122862200
06091,940,61108,289400,389398100,2688200
06093,12744,53898,260200,4035036500,25983800
06095,97692,97037,549100,56538829000,449318700
06097,116921,99266,748500,105791292900,694431800
06099,106359,74872,393300,47414571200,351106500
06101,19680,72654,375400,8319713400,64150500
06103,16520,59029,290400,5531780000,36402300
06105,3883,47317,326200,2327552000,7524400
06107,82078,64474,280900,27150153600,198200400
06109,16991,70432,377700,8360565500,50373200
06111,176575,102141,719100,144776541500,1020336600
06113,39712,85097,555200,25463768500,202101900
06115,16928,66693,350600,6469949000,51506300
